date,GDP
1975,769950
1976,792356
1977,811714
1978,845821
1979,877467
1980,859674
1981,853046
1982,870197
1983,906936
1984,927580
1985,966495
1986,996691
1987,1049581
1988,1109907
1989,1138425
1990,1146756
1991,1134296
1992,1138538
1993,1167308
1994,1212600
1995,1242548
1996,1274093
1997,1325543
1998,1367136
1999,1411112
2000,1462818
2001,1500034
2002,1536903
2003,1588019
2004,1625567
2005,1675896
2006,1717055
2007,1757521
2008,1749216
2009,1675963
2010,1704364
2011,1729121
2012,1754736
2013,1790750
2014,1845444
2015,1888737
2016,1925299